date,site,lst
2010-09-01,Carmel_Forest,31.08
2010-10-01,Carmel_Forest,29.74
2010-11-01,Carmel_Forest,26.79
2010-12-01,Carmel_Forest,20.89
2011-01-01,Carmel_Forest,14.69
2011-02-01,Carmel_Forest,16.43
2011-03-01,Carmel_Forest,21.15
2011-04-01,Carmel_Forest,25.65
2011-05-01,Carmel_Forest,31.89
2011-06-01,Carmel_Forest,33.87
2011-07-01,Carmel_Forest,35.82
2011-08-01,Carmel_Forest,34.67
2011-09-01,Carmel_Forest,33.85
2011-10-01,Carmel_Forest,30.15
2011-11-01,Carmel_Forest,19.84
2011-12-01,Carmel_Forest,17.19
2012-01-01,Carmel_Forest,12.58
2012-02-01,Carmel_Forest,14.34
2012-03-01,Carmel_Forest,18.31
2012-04-01,Carmel_Forest,26.75
2012-05-01,Carmel_Forest,32.05
2012-06-01,Carmel_Forest,34.38
2012-07-01,Carmel_Forest,35.28
2012-08-01,Carmel_Forest,35.08
2012-09-01,Carmel_Forest,34.22
2012-10-01,Carmel_Forest,29.9
2012-11-01,Carmel_Forest,21.94
2012-12-01,Carmel_Forest,15.77
2013-01-01,Carmel_Forest,15.47
2013-02-01,Carmel_Forest,17.87
2013-03-01,Carmel_Forest,21.81
2013-04-01,Carmel_Forest,28.32
2013-05-01,Carmel_Forest,30.37
2013-06-01,Carmel_Forest,33.39
2013-07-01,Carmel_Forest,32.92
2013-08-01,Carmel_Forest,34.07
2013-09-01,Carmel_Forest,33.16
2013-10-01,Carmel_Forest,29.38
2013-11-01,Carmel_Forest,25.16
2013-12-01,Carmel_Forest,14.8
2014-01-01,Carmel_Forest,15.88
2014-02-01,Carmel_Forest,17.64
2014-03-01,Carmel_Forest,21.42
2014-04-01,Carmel_Forest,26.97
2014-05-01,Carmel_Forest,31.44
2014-06-01,Carmel_Forest,34.49
2014-07-01,Carmel_Forest,33.97
2014-08-01,Carmel_Forest,33.56
2014-09-01,Carmel_Forest,31.76
2014-10-01,Carmel_Forest,28.93
2014-11-01,Carmel_Forest,21.15
2014-12-01,Carmel_Forest,16.66
2015-01-01,Carmel_Forest,14.1
2015-02-01,Carmel_Forest,17.63
2015-03-01,Carmel_Forest,19.88
2015-04-01,Carmel_Forest,25.53
2015-05-01,Carmel_Forest,31.13
2015-06-01,Carmel_Forest,30.35
2015-07-01,Carmel_Forest,34.09
2015-08-01,Carmel_Forest,34.5
2015-09-01,Carmel_Forest,33.39
2015-10-01,Carmel_Forest,28.75
2015-11-01,Carmel_Forest,21.98
2015-12-01,Carmel_Forest,16.75
2016-01-01,Carmel_Forest,14.61
2016-02-01,Carmel_Forest,18.34
2016-03-01,Carmel_Forest,20.0
2016-04-01,Carmel_Forest,28.27
2016-05-01,Carmel_Forest,32.07
2016-06-01,Carmel_Forest,35.43
2016-07-01,Carmel_Forest,34.77
2016-08-01,Carmel_Forest,33.62
2016-09-01,Carmel_Forest,33.26
2016-10-01,Carmel_Forest,31.49
2016-11-01,Carmel_Forest,21.98
2016-12-01,Carmel_Forest,14.54
2017-01-01,Carmel_Forest,12.31
2017-02-01,Carmel_Forest,16.63
2017-03-01,Carmel_Forest,21.69
2017-04-01,Carmel_Forest,27.55
2017-05-01,Carmel_Forest,32.14
2017-06-01,Carmel_Forest,34.24
2017-07-01,Carmel_Forest,35.13
2017-08-01,Carmel_Forest,33.22
2017-09-01,Carmel_Forest,32.66
2017-10-01,Carmel_Forest,29.17
2017-11-01,Carmel_Forest,22.24
2017-12-01,Carmel_Forest,16.48
2018-01-01,Carmel_Forest,14.94
2018-02-01,Carmel_Forest,15.62
2018-03-01,Carmel_Forest,22.78
2018-04-01,Carmel_Forest,26.73
2018-05-01,Carmel_Forest,30.33
2018-06-01,Carmel_Forest,33.01
2018-07-01,Carmel_Forest,32.39
2018-08-01,Carmel_Forest,31.56
2018-09-01,Carmel_Forest,33.27
2018-10-01,Carmel_Forest,28.16
2018-11-01,Carmel_Forest,23.12
2018-12-01,Carmel_Forest,15.74
2019-01-01,Carmel_Forest,13.32
2019-02-01,Carmel_Forest,15.51
2019-03-01,Carmel_Forest,20.48
2019-04-01,Carmel_Forest,22.06
2019-05-01,Carmel_Forest,30.83
2019-06-01,Carmel_Forest,31.86
2019-07-01,Carmel_Forest,33.8
2019-08-01,Carmel_Forest,32.75
2019-09-01,Carmel_Forest,32.33
2019-10-01,Carmel_Forest,30.17
2019-11-01,Carmel_Forest,24.2
2019-12-01,Carmel_Forest,16.67
2020-01-01,Carmel_Forest,13.98
2020-02-01,Carmel_Forest,15.78
2020-03-01,Carmel_Forest,18.66
2020-04-01,Carmel_Forest,22.53
2020-05-01,Carmel_Forest,31.25
2020-06-01,Carmel_Forest,30.79
2020-07-01,Carmel_Forest,31.91
2020-08-01,Carmel_Forest,32.71
2020-09-01,Carmel_Forest,33.62
2020-10-01,Carmel_Forest,31.0
2020-11-01,Carmel_Forest,21.12
2020-12-01,Carmel_Forest,16.5
2021-01-01,Carmel_Forest,15.87
2021-02-01,Carmel_Forest,16.94
2021-03-01,Carmel_Forest,19.04
2021-04-01,Carmel_Forest,26.11
2021-05-01,Carmel_Forest,30.42
2021-06-01,Carmel_Forest,32.32
2021-07-01,Carmel_Forest,32.44
2021-08-01,Carmel_Forest,34.52
2021-09-01,Carmel_Forest,32.24
2021-10-01,Carmel_Forest,29.68
2021-11-01,Carmel_Forest,25.68
2021-12-01,Carmel_Forest,15.22
2022-01-01,Carmel_Forest,13.23
2022-02-01,Carmel_Forest,16.47
2022-03-01,Carmel_Forest,16.56
2022-04-01,Carmel_Forest,24.36
2022-05-01,Carmel_Forest,29.18
2022-06-01,Carmel_Forest,32.37
2022-07-01,Carmel_Forest,32.73
2022-08-01,Carmel_Forest,32.29
2022-09-01,Carmel_Forest,32.18
2022-10-01,Carmel_Forest,28.31
2022-11-01,Carmel_Forest,22.31
2022-12-01,Carmel_Forest,17.62
2023-01-01,Carmel_Forest,16.13
2023-02-01,Carmel_Forest,14.9
2023-03-01,Carmel_Forest,21.57
2023-04-01,Carmel_Forest,24.09
2023-05-01,Carmel_Forest,30.03
2023-06-01,Carmel_Forest,31.81
2023-07-01,Carmel_Forest,34.54
2023-08-01,Carmel_Forest,32.21
2023-09-01,Carmel_Forest,32.64
2023-10-01,Carmel_Forest,27.95
2023-11-01,Carmel_Forest,24.07
2023-12-01,Carmel_Forest,17.23
2024-01-01,Carmel_Forest,15.58
2024-02-01,Carmel_Forest,15.08
2024-03-01,Carmel_Forest,18.71
2024-04-01,Carmel_Forest,24.95
2024-05-01,Carmel_Forest,28.38
2024-06-01,Carmel_Forest,32.63
2024-07-01,Carmel_Forest,32.22
2024-08-01,Carmel_Forest,31.72
2024-09-01,Carmel_Forest,29.85
2024-10-01,Carmel_Forest,26.51
2024-11-01,Carmel_Forest,20.23
2024-12-01,Carmel_Forest,15.07
2025-01-01,Carmel_Forest,14.05
2025-02-01,Carmel_Forest,13.22
2025-03-01,Carmel_Forest,18.51
2025-04-01,Carmel_Forest,22.98
2025-05-01,Carmel_Forest,29.02
2025-06-01,Carmel_Forest,31.3
2025-07-01,Carmel_Forest,32.08
2025-08-01,Carmel_Forest,30.35
2025-09-01,Carmel_Forest,29.96
2025-10-01,Carmel_Forest,25.35
2025-11-01,Carmel_Forest,23.82
2025-12-01,Carmel_Forest,14.29
2026-01-01,Carmel_Forest,12.0
2026-02-01,Carmel_Forest,14.7
2026-03-01,Carmel_Forest,14.04
2026-04-01,Carmel_Forest,21.55
2026-05-01,Carmel_Forest,23.1
2000-02-01,Haifa_Coastal_Urban,18.73
2000-03-01,Haifa_Coastal_Urban,18.13
2000-04-01,Haifa_Coastal_Urban,23.1
2000-05-01,Haifa_Coastal_Urban,29.31
2000-06-01,Haifa_Coastal_Urban,33.61
2000-07-01,Haifa_Coastal_Urban,35.36
2000-08-01,Haifa_Coastal_Urban,33.99
2000-09-01,Haifa_Coastal_Urban,32.03
2000-10-01,Haifa_Coastal_Urban,28.21
2000-11-01,Haifa_Coastal_Urban,22.78
2000-12-01,Haifa_Coastal_Urban,16.47
2001-01-01,Haifa_Coastal_Urban,14.76
2001-02-01,Haifa_Coastal_Urban,16.95
2001-03-01,Haifa_Coastal_Urban,22.46
2001-04-01,Haifa_Coastal_Urban,26.5
2001-05-01,Haifa_Coastal_Urban,30.55
2001-06-01,Haifa_Coastal_Urban,32.97
2001-07-01,Haifa_Coastal_Urban,34.48
2001-08-01,Haifa_Coastal_Urban,34.04
2001-09-01,Haifa_Coastal_Urban,31.96
2001-10-01,Haifa_Coastal_Urban,28.21
2001-11-01,Haifa_Coastal_Urban,21.17
2001-12-01,Haifa_Coastal_Urban,16.09
2002-01-01,Haifa_Coastal_Urban,13.55
2002-02-01,Haifa_Coastal_Urban,17.47
2002-03-01,Haifa_Coastal_Urban,20.64
2002-04-01,Haifa_Coastal_Urban,24.17
2002-05-01,Haifa_Coastal_Urban,28.78
2002-06-01,Haifa_Coastal_Urban,33.33
2002-07-01,Haifa_Coastal_Urban,34.77
2002-08-01,Haifa_Coastal_Urban,34.53
2002-09-01,Haifa_Coastal_Urban,32.03
2002-10-01,Haifa_Coastal_Urban,27.32
2002-11-01,Haifa_Coastal_Urban,22.92
2002-12-01,Haifa_Coastal_Urban,16.13
2003-01-01,Haifa_Coastal_Urban,16.25
2003-02-01,Haifa_Coastal_Urban,15.14
2003-03-01,Haifa_Coastal_Urban,17.14
2003-04-01,Haifa_Coastal_Urban,23.52
2003-05-01,Haifa_Coastal_Urban,29.56
2003-06-01,Haifa_Coastal_Urban,32.54
2003-07-01,Haifa_Coastal_Urban,34.23
2003-08-01,Haifa_Coastal_Urban,34.07
2003-09-01,Haifa_Coastal_Urban,31.46
2003-10-01,Haifa_Coastal_Urban,27.33
2003-11-01,Haifa_Coastal_Urban,21.78
2003-12-01,Haifa_Coastal_Urban,15.98
2004-01-01,Haifa_Coastal_Urban,13.97
2004-02-01,Haifa_Coastal_Urban,14.65
2004-03-01,Haifa_Coastal_Urban,20.18
2004-04-01,Haifa_Coastal_Urban,24.86
2004-05-01,Haifa_Coastal_Urban,28.32
2004-06-01,Haifa_Coastal_Urban,32.0
2004-07-01,Haifa_Coastal_Urban,34.66
2004-08-01,Haifa_Coastal_Urban,34.26
2004-09-01,Haifa_Coastal_Urban,31.86
2004-10-01,Haifa_Coastal_Urban,28.18
2004-11-01,Haifa_Coastal_Urban,21.51
2004-12-01,Haifa_Coastal_Urban,15.42
2005-01-01,Haifa_Coastal_Urban,14.25
2005-02-01,Haifa_Coastal_Urban,15.42
2005-03-01,Haifa_Coastal_Urban,20.7
2005-04-01,Haifa_Coastal_Urban,24.61
2005-05-01,Haifa_Coastal_Urban,28.17
2005-06-01,Haifa_Coastal_Urban,32.27
2005-07-01,Haifa_Coastal_Urban,34.04
2005-08-01,Haifa_Coastal_Urban,33.39
2005-09-01,Haifa_Coastal_Urban,31.98
2005-10-01,Haifa_Coastal_Urban,27.75
2005-11-01,Haifa_Coastal_Urban,20.09
2005-12-01,Haifa_Coastal_Urban,18.17
2006-01-01,Haifa_Coastal_Urban,14.04
2006-02-01,Haifa_Coastal_Urban,16.38
2006-03-01,Haifa_Coastal_Urban,19.96
2006-04-01,Haifa_Coastal_Urban,23.09
2006-05-01,Haifa_Coastal_Urban,28.97
2006-06-01,Haifa_Coastal_Urban,32.52
2006-07-01,Haifa_Coastal_Urban,33.13
2006-08-01,Haifa_Coastal_Urban,33.48
2006-09-01,Haifa_Coastal_Urban,32.77
2006-10-01,Haifa_Coastal_Urban,27.35
2006-11-01,Haifa_Coastal_Urban,19.93
2006-12-01,Haifa_Coastal_Urban,15.94
2007-01-01,Haifa_Coastal_Urban,14.29
2007-02-01,Haifa_Coastal_Urban,15.55
2007-03-01,Haifa_Coastal_Urban,19.66
2007-04-01,Haifa_Coastal_Urban,22.06
2007-05-01,Haifa_Coastal_Urban,27.93
2007-06-01,Haifa_Coastal_Urban,32.49
2007-07-01,Haifa_Coastal_Urban,34.08
2007-08-01,Haifa_Coastal_Urban,33.48
2007-09-01,Haifa_Coastal_Urban,30.99
2007-10-01,Haifa_Coastal_Urban,27.94
2007-11-01,Haifa_Coastal_Urban,21.65
2007-12-01,Haifa_Coastal_Urban,15.95
2008-01-01,Haifa_Coastal_Urban,12.38
2008-02-01,Haifa_Coastal_Urban,15.73
2008-03-01,Haifa_Coastal_Urban,22.75
2008-04-01,Haifa_Coastal_Urban,26.18
2008-05-01,Haifa_Coastal_Urban,28.85
2008-06-01,Haifa_Coastal_Urban,33.78
2008-07-01,Haifa_Coastal_Urban,34.8
2008-08-01,Haifa_Coastal_Urban,33.27
2008-09-01,Haifa_Coastal_Urban,31.32
2008-10-01,Haifa_Coastal_Urban,27.29
2008-11-01,Haifa_Coastal_Urban,22.24
2008-12-01,Haifa_Coastal_Urban,16.49
2009-01-01,Haifa_Coastal_Urban,14.37
2009-02-01,Haifa_Coastal_Urban,16.39
2009-03-01,Haifa_Coastal_Urban,18.96
2009-04-01,Haifa_Coastal_Urban,24.48
2009-05-01,Haifa_Coastal_Urban,29.19
2009-06-01,Haifa_Coastal_Urban,33.72
2009-07-01,Haifa_Coastal_Urban,34.83
2009-08-01,Haifa_Coastal_Urban,35.06
2009-09-01,Haifa_Coastal_Urban,31.25
2009-10-01,Haifa_Coastal_Urban,28.98
2009-11-01,Haifa_Coastal_Urban,20.33
2009-12-01,Haifa_Coastal_Urban,16.8
2010-01-01,Haifa_Coastal_Urban,16.24
2010-02-01,Haifa_Coastal_Urban,17.75
2010-03-01,Haifa_Coastal_Urban,19.58
2010-04-01,Haifa_Coastal_Urban,25.42
2010-05-01,Haifa_Coastal_Urban,30.17
2010-06-01,Haifa_Coastal_Urban,31.73
2010-07-01,Haifa_Coastal_Urban,33.44
2010-08-01,Haifa_Coastal_Urban,34.94
2010-09-01,Haifa_Coastal_Urban,32.69
2010-10-01,Haifa_Coastal_Urban,28.74
2010-11-01,Haifa_Coastal_Urban,25.21
2010-12-01,Haifa_Coastal_Urban,19.1
2011-01-01,Haifa_Coastal_Urban,14.78
2011-02-01,Haifa_Coastal_Urban,17.4
2011-03-01,Haifa_Coastal_Urban,20.41
2011-04-01,Haifa_Coastal_Urban,23.26
2011-05-01,Haifa_Coastal_Urban,26.88
2011-06-01,Haifa_Coastal_Urban,32.15
2011-07-01,Haifa_Coastal_Urban,33.83
2011-08-01,Haifa_Coastal_Urban,34.17
2011-09-01,Haifa_Coastal_Urban,31.69
2011-10-01,Haifa_Coastal_Urban,27.42
2011-11-01,Haifa_Coastal_Urban,19.22
2011-12-01,Haifa_Coastal_Urban,16.08
2012-01-01,Haifa_Coastal_Urban,13.18
2012-02-01,Haifa_Coastal_Urban,15.5
2012-03-01,Haifa_Coastal_Urban,18.45
2012-04-01,Haifa_Coastal_Urban,25.56
2012-05-01,Haifa_Coastal_Urban,29.9
2012-06-01,Haifa_Coastal_Urban,33.45
2012-07-01,Haifa_Coastal_Urban,35.17
2012-08-01,Haifa_Coastal_Urban,35.06
2012-09-01,Haifa_Coastal_Urban,33.44
2012-10-01,Haifa_Coastal_Urban,28.27
2012-11-01,Haifa_Coastal_Urban,21.17
2012-12-01,Haifa_Coastal_Urban,17.05
2013-01-01,Haifa_Coastal_Urban,16.03
2013-02-01,Haifa_Coastal_Urban,17.39
2013-03-01,Haifa_Coastal_Urban,21.15
2013-04-01,Haifa_Coastal_Urban,25.94
2013-05-01,Haifa_Coastal_Urban,29.86
2013-06-01,Haifa_Coastal_Urban,32.61
2013-07-01,Haifa_Coastal_Urban,33.51
2013-08-01,Haifa_Coastal_Urban,34.09
2013-09-01,Haifa_Coastal_Urban,31.67
2013-10-01,Haifa_Coastal_Urban,27.72
2013-11-01,Haifa_Coastal_Urban,23.47
2013-12-01,Haifa_Coastal_Urban,14.75
2014-01-01,Haifa_Coastal_Urban,15.78
2014-02-01,Haifa_Coastal_Urban,17.67
2014-03-01,Haifa_Coastal_Urban,21.07
2014-04-01,Haifa_Coastal_Urban,25.24
2014-05-01,Haifa_Coastal_Urban,29.5
2014-06-01,Haifa_Coastal_Urban,33.68
2014-07-01,Haifa_Coastal_Urban,33.67
2014-08-01,Haifa_Coastal_Urban,33.49
2014-09-01,Haifa_Coastal_Urban,31.82
2014-10-01,Haifa_Coastal_Urban,28.18
2014-11-01,Haifa_Coastal_Urban,21.37
2014-12-01,Haifa_Coastal_Urban,17.45
2015-01-01,Haifa_Coastal_Urban,14.72
2015-02-01,Haifa_Coastal_Urban,16.0
2015-03-01,Haifa_Coastal_Urban,20.06
2015-04-01,Haifa_Coastal_Urban,23.43
2015-05-01,Haifa_Coastal_Urban,30.5
2015-06-01,Haifa_Coastal_Urban,31.26
2015-07-01,Haifa_Coastal_Urban,34.16
2015-08-01,Haifa_Coastal_Urban,34.82
2015-09-01,Haifa_Coastal_Urban,32.81
2015-10-01,Haifa_Coastal_Urban,27.38
2015-11-01,Haifa_Coastal_Urban,22.36
2015-12-01,Haifa_Coastal_Urban,16.73
2016-01-01,Haifa_Coastal_Urban,15.47
2016-02-01,Haifa_Coastal_Urban,17.7
2016-03-01,Haifa_Coastal_Urban,20.47
2016-04-01,Haifa_Coastal_Urban,26.69
2016-05-01,Haifa_Coastal_Urban,29.22
2016-06-01,Haifa_Coastal_Urban,33.28
2016-07-01,Haifa_Coastal_Urban,35.1
2016-08-01,Haifa_Coastal_Urban,34.21
2016-09-01,Haifa_Coastal_Urban,32.25
2016-10-01,Haifa_Coastal_Urban,29.43
2016-11-01,Haifa_Coastal_Urban,21.08
2016-12-01,Haifa_Coastal_Urban,15.27
2017-01-01,Haifa_Coastal_Urban,13.77
2017-02-01,Haifa_Coastal_Urban,16.7
2017-03-01,Haifa_Coastal_Urban,20.75
2017-04-01,Haifa_Coastal_Urban,25.25
2017-05-01,Haifa_Coastal_Urban,30.28
2017-06-01,Haifa_Coastal_Urban,33.2
2017-07-01,Haifa_Coastal_Urban,35.05
2017-08-01,Haifa_Coastal_Urban,34.5
2017-09-01,Haifa_Coastal_Urban,32.33
2017-10-01,Haifa_Coastal_Urban,28.51
2017-11-01,Haifa_Coastal_Urban,22.1
2017-12-01,Haifa_Coastal_Urban,17.6
2018-01-01,Haifa_Coastal_Urban,14.69
2018-02-01,Haifa_Coastal_Urban,17.56
2018-03-01,Haifa_Coastal_Urban,21.92
2018-04-01,Haifa_Coastal_Urban,25.63
2018-05-01,Haifa_Coastal_Urban,29.65
2018-06-01,Haifa_Coastal_Urban,32.92
2018-07-01,Haifa_Coastal_Urban,33.81
2018-08-01,Haifa_Coastal_Urban,32.98
2018-09-01,Haifa_Coastal_Urban,32.96
2018-10-01,Haifa_Coastal_Urban,26.45
2018-11-01,Haifa_Coastal_Urban,21.98
2018-12-01,Haifa_Coastal_Urban,16.24
2019-01-01,Haifa_Coastal_Urban,14.46
2019-02-01,Haifa_Coastal_Urban,16.39
2019-03-01,Haifa_Coastal_Urban,19.39
2019-04-01,Haifa_Coastal_Urban,23.3
2019-05-01,Haifa_Coastal_Urban,29.89
2019-06-01,Haifa_Coastal_Urban,32.78
2019-07-01,Haifa_Coastal_Urban,34.34
2019-08-01,Haifa_Coastal_Urban,33.85
2019-09-01,Haifa_Coastal_Urban,32.5
2019-10-01,Haifa_Coastal_Urban,29.62
2019-11-01,Haifa_Coastal_Urban,23.13
2019-12-01,Haifa_Coastal_Urban,17.11
2020-01-01,Haifa_Coastal_Urban,13.87
2020-02-01,Haifa_Coastal_Urban,15.96
2020-03-01,Haifa_Coastal_Urban,20.14
2020-04-01,Haifa_Coastal_Urban,23.72
2020-05-01,Haifa_Coastal_Urban,31.94
2020-06-01,Haifa_Coastal_Urban,31.62
2020-07-01,Haifa_Coastal_Urban,33.57
2020-08-01,Haifa_Coastal_Urban,34.11
2020-09-01,Haifa_Coastal_Urban,33.06
2020-10-01,Haifa_Coastal_Urban,30.2
2020-11-01,Haifa_Coastal_Urban,21.69
2020-12-01,Haifa_Coastal_Urban,17.15
2021-01-01,Haifa_Coastal_Urban,16.48
2021-02-01,Haifa_Coastal_Urban,17.87
2021-03-01,Haifa_Coastal_Urban,20.44
2021-04-01,Haifa_Coastal_Urban,25.92
2021-05-01,Haifa_Coastal_Urban,31.25
2021-06-01,Haifa_Coastal_Urban,32.67
2021-07-01,Haifa_Coastal_Urban,34.3
2021-08-01,Haifa_Coastal_Urban,34.96
2021-09-01,Haifa_Coastal_Urban,31.96
2021-10-01,Haifa_Coastal_Urban,28.69
2021-11-01,Haifa_Coastal_Urban,23.25
2021-12-01,Haifa_Coastal_Urban,14.98
2022-01-01,Haifa_Coastal_Urban,14.22
2022-02-01,Haifa_Coastal_Urban,16.84
2022-03-01,Haifa_Coastal_Urban,17.97
2022-04-01,Haifa_Coastal_Urban,25.39
2022-05-01,Haifa_Coastal_Urban,28.43
2022-06-01,Haifa_Coastal_Urban,33.1
2022-07-01,Haifa_Coastal_Urban,34.23
2022-08-01,Haifa_Coastal_Urban,33.62
2022-09-01,Haifa_Coastal_Urban,31.62
2022-10-01,Haifa_Coastal_Urban,27.85
2022-11-01,Haifa_Coastal_Urban,22.74
2022-12-01,Haifa_Coastal_Urban,17.68
2023-01-01,Haifa_Coastal_Urban,16.5
2023-02-01,Haifa_Coastal_Urban,15.87
2023-03-01,Haifa_Coastal_Urban,21.61
2023-04-01,Haifa_Coastal_Urban,24.06
2023-05-01,Haifa_Coastal_Urban,28.5
2023-06-01,Haifa_Coastal_Urban,31.98
2023-07-01,Haifa_Coastal_Urban,34.91
2023-08-01,Haifa_Coastal_Urban,33.23
2023-09-01,Haifa_Coastal_Urban,32.72
2023-10-01,Haifa_Coastal_Urban,28.31
2023-11-01,Haifa_Coastal_Urban,23.65
2023-12-01,Haifa_Coastal_Urban,17.93
2024-01-01,Haifa_Coastal_Urban,15.61
2024-02-01,Haifa_Coastal_Urban,14.12
2024-03-01,Haifa_Coastal_Urban,19.26
2024-04-01,Haifa_Coastal_Urban,25.63
2024-05-01,Haifa_Coastal_Urban,27.34
2024-06-01,Haifa_Coastal_Urban,33.1
2024-07-01,Haifa_Coastal_Urban,33.63
2024-08-01,Haifa_Coastal_Urban,32.81
2024-09-01,Haifa_Coastal_Urban,30.77
2024-10-01,Haifa_Coastal_Urban,26.49
2024-11-01,Haifa_Coastal_Urban,20.46
2024-12-01,Haifa_Coastal_Urban,16.09
2025-01-01,Haifa_Coastal_Urban,14.34
2025-02-01,Haifa_Coastal_Urban,14.4
2025-03-01,Haifa_Coastal_Urban,20.35
2025-04-01,Haifa_Coastal_Urban,23.19
2025-05-01,Haifa_Coastal_Urban,27.63
2025-06-01,Haifa_Coastal_Urban,32.07
2025-07-01,Haifa_Coastal_Urban,32.68
