date,site,lst,baseline,z_score,severity,status,ndvi_change
2026-04-13,Jordan Valley,32.72,29.57,1.7,Mild,Handled,-0.16
2026-04-14,Jezreel Valley,27.92,24.88,1.66,Mild,New,-0.16
2026-04-14,Jordan Valley,33.46,29.82,1.97,Mild,New,-0.103
2026-04-14,Mount Tabor,25.3,22.27,1.75,Mild,New,-0.081
2026-04-15,Galilee North,25.01,21.97,1.53,Mild,New,-0.175
2026-04-15,Golan Heights,27.43,20.19,2.83,Severe,Reviewed,-0.057
2026-04-15,Mount Carmel,24.33,21.27,1.76,Mild,New,-0.081
2026-04-15,Mount Tabor,27.33,22.55,2.58,Severe,New,-0.133
2026-04-16,Galilee North,26.01,22.22,1.88,Mild,Handled,-0.092
2026-04-16,Hula Valley,26.93,24.07,1.58,Mild,Handled,-0.173
2026-04-16,Jordan Valley,33.01,30.21,1.56,Mild,New,-0.175
2026-04-16,Mount Carmel,24.52,21.46,1.72,Mild,Reviewed,-0.06
2026-04-17,Jezreel Valley,28.35,25.45,1.75,Mild,Reviewed,-0.154
2026-04-17,Jordan Valley,33.92,30.43,1.92,Mild,New,-0.063
2026-04-18,Jezreel Valley,28.08,25.65,1.51,Mild,Handled,-0.12
2026-04-18,Mount Tabor,26.61,23.07,1.91,Mild,New,-0.073
2026-04-19,Galilee South,26.85,23.77,1.9,Mild,Reviewed,-0.131
2026-04-19,Hula Valley,27.21,24.49,1.5,Mild,Handled,-0.153
2026-04-19,Jezreel Valley,29.21,25.78,1.97,Mild,New,-0.14
2026-04-19,Jordan Valley,34.41,30.85,1.95,Mild,New,-0.161
2026-04-19,Mount Tabor,26.31,23.3,1.67,Mild,Handled,-0.149
2026-04-20,Galilee South,27.46,23.99,2.09,Severe,New,-0.098
2026-04-20,Jordan Valley,34.29,31.07,1.77,Mild,Handled,-0.066
2026-04-21,Jordan Valley,37.81,31.42,3.09,Critical,New,-0.152
2026-04-22,Hula Valley,27.69,25.05,1.63,Mild,Handled,-0.072
2026-04-22,Jezreel Valley,28.92,26.27,1.53,Mild,Handled,-0.057
2026-04-22,Mount Tabor,26.51,23.79,1.61,Mild,New,-0.122
2026-04-24,Mount Tabor,26.5,24.12,1.54,Mild,New,-0.044
2026-04-25,Hula Valley,27.93,25.53,1.59,Mild,Handled,-0.044
2026-04-25,Jordan Valley,36.25,32.07,1.87,Mild,New,-0.048
2026-04-25,Mount Carmel,28.71,22.95,3.11,Critical,New,-0.139
2026-04-26,Galilee North,26.5,23.76,1.51,Mild,Handled,-0.1
2026-04-26,Hula Valley,28.22,25.7,1.66,Mild,New,-0.174
2026-04-26,Jezreel Valley,31.12,26.99,2.4,Severe,New,-0.143
2026-04-26,Jordan Valley,35.66,32.31,1.52,Mild,New,-0.064
2026-04-27,Galilee South,28.76,25.11,2.43,Severe,Reviewed,-0.127
2026-04-27,Jezreel Valley,30.16,27.2,1.73,Mild,New,-0.101
2026-04-27,Jordan Valley,36.23,32.53,1.63,Mild,Reviewed,-0.137
2026-04-28,Galilee South,28.0,25.3,1.8,Mild,Reviewed,-0.111
2026-04-28,Hula Valley,29.39,26.0,2.13,Severe,New,-0.067
2026-04-28,Mount Tabor,26.93,24.64,1.55,Mild,Reviewed,-0.178
2026-04-29,Galilee North,29.65,24.27,2.55,Severe,Reviewed,-0.121
2026-04-29,Galilee South,28.45,25.47,1.92,Mild,Handled,-0.05
2026-04-29,Golan Heights,27.27,22.29,2.35,Severe,Reviewed,-0.046
2026-04-30,Golan Heights,27.47,22.53,2.17,Severe,New,-0.137
2026-04-30,Hula Valley,29.69,26.34,2.04,Severe,New,-0.072
2026-04-30,Jezreel Valley,30.22,27.69,1.53,Mild,Reviewed,-0.157
2026-05-01,Galilee South,29.39,25.81,2.18,Severe,Reviewed,-0.131
2026-05-02,Hula Valley,29.19,26.62,1.57,Mild,New,-0.177
2026-05-02,Jezreel Valley,33.45,28.11,2.9,Severe,New,-0.14
2026-05-02,Mount Tabor,27.24,25.18,1.5,Mild,Handled,-0.073
2026-05-03,Galilee South,29.71,26.17,2.16,Severe,New,-0.062
2026-05-03,Jordan Valley,37.89,33.72,1.93,Mild,Reviewed,-0.136
2026-05-04,Mount Tabor,28.1,25.42,1.91,Mild,New,-0.134
2026-05-06,Galilee South,29.73,26.62,1.85,Mild,New,-0.117
2026-05-06,Mount Carmel,31.74,24.5,3.55,Critical,New,-0.066
2026-05-06,Mount Tabor,27.89,25.7,1.55,Mild,Reviewed,-0.128
2026-05-07,Galilee North,28.26,25.67,1.52,Mild,Reviewed,-0.056
2026-05-08,Golan Heights,27.0,23.28,1.83,Mild,New,-0.161
2026-05-09,Mount Tabor,28.76,26.16,1.98,Mild,New,-0.091
2026-05-10,Galilee South,29.9,27.17,1.62,Mild,Handled,-0.073
2026-05-10,Mount Carmel,28.15,25.13,1.53,Mild,New,-0.176
2026-05-11,Hula Valley,33.21,27.9,3.28,Critical,New,-0.096
2026-05-11,Jordan Valley,37.85,35.16,1.63,Mild,New,-0.133
2026-05-12,Jordan Valley,37.91,35.35,1.58,Mild,Handled,-0.053
2026-05-13,Galilee North,29.05,26.43,1.82,Mild,Reviewed,-0.12
2026-05-13,Jezreel Valley,32.37,29.78,1.66,Mild,New,-0.067
2026-05-13,Jordan Valley,37.94,35.52,1.5,Mild,Handled,-0.156
2026-05-13,Mount Tabor,33.06,26.7,4.0,Critical,New,-0.052
2026-05-14,Jezreel Valley,32.33,29.93,1.51,Mild,New,-0.041
2026-05-14,Jordan Valley,39.24,35.71,2.08,Severe,Reviewed,-0.16
2026-05-15,Galilee South,30.43,27.96,1.62,Mild,New,-0.128
2026-05-15,Jordan Valley,38.44,35.92,1.54,Mild,New,-0.138
2026-05-16,Galilee South,33.78,28.24,3.11,Critical,Handled,-0.103
