date,site,model,lst_forecast,lst_low,lst_high
2026-05-18,Jezreel Valley,Gradient Boosting,34.78,33.38,36.18
2026-05-19,Jezreel Valley,Gradient Boosting,34.47,33.07,35.87
2026-05-20,Jezreel Valley,Gradient Boosting,35.43,34.03,36.83
2026-05-21,Jezreel Valley,Gradient Boosting,35.38,33.98,36.78
2026-05-22,Jezreel Valley,Gradient Boosting,36.18,34.78,37.58
2026-05-23,Jezreel Valley,Gradient Boosting,35.42,34.02,36.82
2026-05-17,Jezreel Valley,LSTM,33.7,32.7,34.7
2026-05-18,Jezreel Valley,LSTM,33.73,32.73,34.73
2026-05-19,Jezreel Valley,LSTM,34.29,33.29,35.29
2026-05-20,Jezreel Valley,LSTM,34.91,33.91,35.91
2026-05-21,Jezreel Valley,LSTM,35.09,34.09,36.09
2026-05-22,Jezreel Valley,LSTM,35.36,34.36,36.36
2026-05-23,Jezreel Valley,LSTM,35.69,34.69,36.69
2026-05-17,Jordan Valley,Random Forest,37.33,35.73,38.93
2026-05-18,Jordan Valley,Random Forest,37.6,36.0,39.2
2026-05-19,Jordan Valley,Random Forest,37.45,35.85,39.05
2026-05-20,Jordan Valley,Random Forest,37.94,36.34,39.54
2026-05-21,Jordan Valley,Random Forest,37.41,35.81,39.01
2026-05-22,Jordan Valley,Random Forest,38.08,36.48,39.68
2026-05-23,Jordan Valley,Random Forest,38.64,37.04,40.24
2026-05-17,Jordan Valley,Gradient Boosting,36.81,35.41,38.21
2026-05-18,Jordan Valley,Gradient Boosting,37.64,36.24,39.04
2026-05-19,Jordan Valley,Gradient Boosting,38.33,36.93,39.73
2026-05-20,Jordan Valley,Gradient Boosting,37.68,36.28,39.08
2026-05-21,Jordan Valley,Gradient Boosting,38.08,36.68,39.48
2026-05-22,Jordan Valley,Gradient Boosting,38.7,37.3,40.1
2026-05-23,Jordan Valley,Gradient Boosting,39.41,38.01,40.81
2026-05-17,Jordan Valley,LSTM,36.36,35.36,37.36
2026-05-18,Jordan Valley,LSTM,37.1,36.1,38.1
2026-05-19,Jordan Valley,LSTM,37.88,36.88,38.88
2026-05-20,Jordan Valley,LSTM,37.13,36.13,38.13
2026-05-21,Jordan Valley,LSTM,37.55,36.55,38.55
2026-05-22,Jordan Valley,LSTM,38.1,37.1,39.1
2026-05-23,Jordan Valley,LSTM,38.37,37.37,39.37
2026-05-17,Mount Tabor,Random Forest,30.46,28.86,32.06
2026-05-18,Mount Tabor,Random Forest,30.04,28.44,31.64
2026-05-19,Mount Tabor,Random Forest,29.93,28.33,31.53
2026-05-20,Mount Tabor,Random Forest,31.43,29.83,33.03
2026-05-21,Mount Tabor,Random Forest,32.01,30.41,33.61
2026-05-22,Mount Tabor,Random Forest,31.43,29.83,33.03
2026-05-23,Mount Tabor,Random Forest,31.27,29.67,32.87
2026-05-17,Mount Tabor,Gradient Boosting,30.16,28.76,31.56
2026-05-18,Mount Tabor,Gradient Boosting,30.46,29.06,31.86
2026-05-19,Mount Tabor,Gradient Boosting,30.79,29.39,32.19
2026-05-20,Mount Tabor,Gradient Boosting,30.82,29.42,32.22
2026-05-21,Mount Tabor,Gradient Boosting,31.62,30.22,33.02
2026-05-22,Mount Tabor,Gradient Boosting,31.91,30.51,33.31
2026-05-23,Mount Tabor,Gradient Boosting,31.6,30.2,33.0
2026-05-17,Mount Tabor,LSTM,30.06,29.06,31.06
2026-05-18,Mount Tabor,LSTM,30.77,29.77,31.77
2026-05-19,Mount Tabor,LSTM,30.5,29.5,31.5
2026-05-20,Mount Tabor,LSTM,30.65,29.65,31.65
2026-05-21,Mount Tabor,LSTM,31.01,30.01,32.01
2026-05-22,Mount Tabor,LSTM,31.53,30.53,32.53
2026-05-23,Mount Tabor,LSTM,31.13,30.13,32.13
